case_id,title,domain,osi_layer,severity,symptom,topology_note,expected_fault,concept_tag,rule_engine_flag,ground_truth_next_command,ground_truth_fix,show_outputs_summary
NET-017,Subnet Mask Mismatch on Gateway Interface (/26 vs /24),Subnetting,Layer 3 (Network),Medium,"Hosts with IPs 192.168.1.100 and 192.168.1.150 cannot reach the router gateway (192.168.1.1), but hosts with IP 192.168.1.20 can.",LAN hosts configured with /24 (255.255.255.0). Router G0/0 configured with IP 192.168.1.1.,"Router interface G0/0 is configured with a /26 mask (255.255.255.192, usable range .1 - .62), causing it to reject and drop packets from hosts above .63 on the same /24 broadcast domain.",Subnet Mask Mismatch,SUBNET_MASK_MISMATCH,show ip interface GigabitEthernet0/0,"Router(config)# interface GigabitEthernet0/0
Router(config-if)# ip address 192.168.1.1 255.255.255.0","show ip interface g0/0 (Router): Router# show ip interface GigabitEthernet0/0 GigabitEthernet0/0 is up, line protocol is up   Internet address is 192.168.1.1/26   Broadcast address is 192.168.1.63   Address determined by setup command | show running-..."
NET-018,ACL Inverted Wildcard Mask Blocking Subnet,ACL / Security,Layer 3 (Network),High,ACL 10 intended to permit the 192.168.10.0/24 subnet is dropping all traffic from the entire subnet except host 192.168.10.0.,Standard ACL 10 applied inbound on router interface G0/0.,"ACL 10 used the subnet mask '255.255.255.0' instead of the Cisco wildcard mask '0.0.0.255', causing IOS to interpret it as a host match on .0 only.",Cisco ACL Wildcard Mask,ACL_IMPLICIT_DENY,show access-lists 10,"Router(config)# ip access-list standard 10
Router(config-std-nacl)# no 10
Router(config-std-nacl)# 10 permit 192.168.10.0 0.0.0.255",show access-lists 10: Router# show access-lists 10 Standard IP access list 10     10 permit 192.168.10.0 255.255.255.0 (0 matches)     20 deny any (438 matches) | show ip interface g0/0: Router# show ip interface GigabitEthernet0/0   Inbound access l...
NET-019,Missing 'ip nat inside' on LAN Interface,NAT,Layer 3 (Network),High,LAN hosts cannot access external websites. 'show ip nat translations' shows 0 translations despite active outbound traffic.,Cisco 1941 Router with G0/0 connected to LAN (192.168.1.0/24) and G0/1 connected to ISP.,"Interface GigabitEthernet0/0 is missing the 'ip nat inside' command, preventing the NAT engine from recognizing inbound packets for translation.",NAT Interface Binding,NAT_INSIDE_OUTSIDE,show running-config interface GigabitEthernet0/0,"Router(config)# interface GigabitEthernet0/0
Router(config-if)# ip nat inside",show running-config interface g0/0: Router# show running-config interface GigabitEthernet0/0 interface GigabitEthernet0/0  ip address 192.168.1.1 255.255.255.0  duplex auto  speed auto ! | show running-config interface g0/1: Router# show running-conf...
NET-020,Incorrect DNS Server IP in DHCP Scope Option,DNS / DHCP,Layer 7 (Application),Medium,"All DHCP clients on the floor can ping internal servers and gateway by IP, but cannot resolve hostnames. Static DNS test works.",Internal DNS server is at 10.0.0.10. DHCP pool is configured on Core Switch.,"The DHCP pool 'LAN_POOL' specifies 'dns-server 10.0.0.100' which is an invalid, unresponsive IP. The actual DNS server is 10.0.0.10.",DHCP Option 6 (DNS Server),DHCP_POOL_AND_RELAY,show running-config | section dhcp,"Core-SW(config)# ip dhcp pool LAN_POOL
Core-SW(dhcp-config)# dns-server 10.0.0.10",show running-config | section dhcp: Core-SW# show running-config | section dhcp ip dhcp pool LAN_POOL  network 10.0.1.0 255.255.255.0  default-router 10.0.1.1  dns-server 10.0.0.100  domain-name corp.local | ping 10.0.0.100 (Core-SW): Core-SW# ping 1...
NET-021,Access Port Assigned to Non-Existent VLAN in Database,VLAN,Layer 2 (Data Link),High,Workstation plugged into switchport Fa0/15 gets no link traffic and cannot communicate with any other device. Interface LED is steady amber.,Cisco Catalyst 2960 switch.,"Switchport Fa0/15 is assigned to VLAN 45, but VLAN 45 does not exist in the switch VLAN database ('show vlan brief'), placing the port in an 'inactive' state.",VLAN Creation & Database Verification,VLAN_TRUNK_MISMATCH,show vlan brief,"SW1(config)# vlan 45
SW1(config-vlan)# name Operations
SW1(config-vlan)# exit",show running-config interface fa0/15: SW1# show running-config interface FastEthernet0/15 interface FastEthernet0/15  switchport access vlan 45  switchport mode access ! | show vlan brief: SW1# show vlan brief VLAN Name                             St...
NET-022,HSRP Virtual IP Address Mismatch,HSRP / Redundancy,Layer 3 (Network),Critical,LAN clients intermittently lose default gateway connectivity. Both R1 and R2 report themselves as 'Active' router in HSRP group 1.,R1 and R2 configured for First Hop Redundancy using HSRP Group 1 on VLAN 10 (10.1.1.0/24).,"HSRP Group 1 has conflicting virtual IPs configured: R1 uses 10.1.1.1 while R2 uses 10.1.1.254, causing split-brain active-active states.",HSRP Configuration Alignment,HSRP_PRIORITY_PREEMPT,show standby brief,"R2(config)# interface GigabitEthernet0/0.10
R2(config-subif)# standby 1 ip 10.1.1.1",show standby brief (R1): R1# show standby brief                      P indicates configured to preempt.                      | Interface   Grp  Pri P State   Active          Standby         Virtual IP Gi0/0.10    1    110 P Active  local           un...
NET-023,OSPF Adjacency Stuck in EXSTART Due to MTU Mismatch,OSPF Routing,Layer 3 (Network),High,OSPF neighbor state between Router A and Router B is permanently stuck in EXSTART/EXCHANGE and never reaches FULL.,Router A and Router B connected via GigabitEthernet0/0 point-to-point link.,"MTU mismatch on the link: Router A has MTU 1500 whereas Router B has MTU 1400. During DBD packet exchange, OSPF drops packets exceeding MTU.",OSPF MTU Mismatch & DBD Exchange,OSPF_NEIGHBOR_ADJACENCY,show interfaces GigabitEthernet0/0 | include MTU,"RouterB(config)# interface GigabitEthernet0/0
RouterB(config-if)# ip mtu 1500
! (or: ip ospf mtu-ignore)",show ip ospf neighbor (RouterA): RouterA# show ip ospf neighbor Neighbor ID     Pri   State           Dead Time   Address         Interface 2.2.2.2           1   EXSTART/  -     00:00:36    10.0.0.2        GigabitEthernet0/0 | show interfaces Gigabit...
NET-024,Wireless Access Point Connected to Access Port Instead of Trunk,Wireless / Switching,Layer 2 (Data Link),High,"Lightweight Access Point boots up and joins WLC on Management VLAN 10, but clients connecting to Corporate (VLAN 20) or Guest (VLAN 30) SSIDs get no network connection.",FlexConnect AP connected to switchport Fa0/24.,Switchport Fa0/24 connecting the multi-SSID Access Point is configured in static access mode for VLAN 10 instead of 802.1Q trunk mode with native VLAN 10.,AP Trunk Port & Native VLAN,VLAN_TRUNK_MISMATCH,show interfaces FastEthernet0/24 switchport,"SW1(config)# interface FastEthernet0/24
SW1(config-if)# switchport mode trunk
SW1(config-if)# switchport trunk native vlan 10
SW1(config-if)# switchport trunk allowed vlan 10,20,30",show running-config interface fa0/24: SW1# show running-config interface FastEthernet0/24 interface FastEthernet0/24  switchport access vlan 10  switchport mode access  spanning-tree portfast ! | show interfaces FastEthernet0/24 switchport: SW1# show...
NET-025,Missing Default Route (0.0.0.0/0) on Edge Router,Routing / Gateway,Layer 3 (Network),Critical,"All internal corporate users can ping internal servers and branch offices, but cannot reach any external Internet addresses (e.g., 8.8.8.8).",Edge Router R1 connected to ISP Gateway (203.0.113.1/30) on G0/1.,"Edge Router R1 lacks a default gateway route ('ip route 0.0.0.0 0.0.0.0 203.0.113.1'), so 'Gateway of last resort is not set' and external packets are discarded.",Default Static Route / Gateway of Last Resort,DEFAULT_GATEWAY_MISSING,show ip route,R1(config)# ip route 0.0.0.0 0.0.0.0 203.0.113.1,"show ip route: R1# show ip route Gateway of last resort is not set        10.0.0.0/8 is variably subnetted, 4 subnets, 2 masks C        10.1.1.0/24 is directly connected, GigabitEthernet0/0 C        10.1.2.0/24 is directly connected, GigabitEthernet0..."
NET-026,Standard ACL Inbound on Source Interface Blocking All LAN Traffic,ACL / Security,Layer 3 (Network),Critical,Workstations on LAN 192.168.1.0/24 completely lost all access to the local router and internal subnet after a firewall rule was applied to restrict server access.,Standard ACL 20 applied inbound on interface G0/0.,"Standard ACL 20 filters solely on source IP and permits 10.0.0.0/8. Applied inbound on G0/0 (192.168.1.0/24), it blocks all legitimate local traffic.",ACL Placement & Filtering Rules,ACL_IMPLICIT_DENY,show ip interface GigabitEthernet0/0; show access-lists 20,"Router(config)# interface GigabitEthernet0/0
Router(config-if)# no ip access-group 20 in",show access-lists 20: Router# show access-lists 20 Standard IP access list 20     10 permit 10.0.0.0 0.255.255.255 (0 matches)     20 deny any (1520 matches) | show ip interface g0/0: Router# show ip interface GigabitEthernet0/0   Internet address is...
NET-027,Switchport Left in Dynamic Auto Mode Failing to Pass Traffic,Switching / DTP,Layer 2 (Data Link),Medium,End-user PC connected to switchport Fa0/8 cannot connect. 'show interfaces switchport' shows port in dynamic auto mode.,Catalyst 2960 switch connecting desktop workstation.,Port Fa0/8 is in 'dynamic auto' DTP mode instead of static 'switchport mode access' with the correct VLAN assignment (VLAN 10).,Switchport Mode Access vs Dynamic Trunking,VLAN_TRUNK_MISMATCH,show interfaces FastEthernet0/8 switchport,"SW1(config)# interface FastEthernet0/8
SW1(config-if)# switchport mode access
SW1(config-if)# switchport access vlan 10
SW1(config-if)# spanning-tree portfast",show interfaces FastEthernet0/8 switchport: SW1# show interfaces FastEthernet0/8 switchport Name: Fa0/8 Switchport: Enabled Administrative Mode: dynamic auto Operational Mode: static access Administrative Trunking Encapsulation: dot1q Negotiation of ...
NET-028,DHCP Snooping Dropping Server Offers on Untrusted Uplink,DHCP Security / Snooping,Layer 2 (Data Link),High,"Clients fail to acquire DHCP leases after enabling DHCP Snooping on the access switch, even though the DHCP server is operational.",DHCP Server connected to Core SW. Access SW connected to Core SW via trunk port G0/1.,"DHCP Snooping is enabled globally, but uplink port GigabitEthernet0/1 leading to the legitimate DHCP server is not configured as trusted ('ip dhcp snooping trust').",DHCP Snooping Trust Configuration,DHCP_POOL_AND_RELAY,show ip dhcp snooping; show ip dhcp snooping statistics,"SW-ACCESS(config)# interface GigabitEthernet0/1
SW-ACCESS(config-if)# ip dhcp snooping trust","show ip dhcp snooping: SW-ACCESS# show ip dhcp snooping Switch DHCP snooping is enabled DHCP snooping is configured on following VLANs: 10,20 Insertion of option 82 is enabled Interface                  Trusted    Rate limit (pps) -------------------..."
NET-029,Static NAT Translation IP Overlap with Outside Router IP,NAT,Layer 3 (Network),High,Internet connectivity fails completely across the company immediately after configuring static 1-to-1 NAT for the Web Server.,Gateway router R1 has outside interface G0/1 IP 203.0.113.1/30. ISP Gateway is 203.0.113.2.,"Static NAT mapping assigned the router's own interface IP (203.0.113.1) directly to internal host 192.168.1.50, causing IP hijacking of the gateway's outside address.",Static NAT IP Allocation,DUPLICATE_IP_CONFLICT,show ip nat translations; show running-config | include ip nat,"R1(config)# no ip nat inside source static 192.168.1.50 203.0.113.1
R1(config)# ip nat inside source static 192.168.1.50 203.0.113.5",show running-config | include ip nat: R1# show running-config | include ip nat ip nat inside source static 192.168.1.50 203.0.113.1 ip nat inside source list 1 interface GigabitEthernet0/1 overload | show ip interface brief: R1# show ip interface bri...
NET-030,Inbound Extended ACL Dropping HTTP Return Traffic,ACL / Security,Layer 4 (Transport),High,"LAN hosts initiate TCP connections to external web servers, but web pages never load. Outbound SYN packets leave, but SYN-ACK response packets are dropped.",Outside WAN interface G0/1 has inbound ACL applied without stateful return or established keyword.,"Inbound ACL 'WAN_IN' denies all inbound IP traffic except ICMP, dropping return TCP packets from external web servers. It lacks 'permit tcp any any established'.",Stateless ACL Return Traffic,ACL_IMPLICIT_DENY,show access-lists WAN_IN,"ip access-list extended WAN_IN
 15 permit tcp any 192.168.1.0 0.0.0.255 established",show access-lists WAN_IN: Router# show access-lists WAN_IN Extended IP access list WAN_IN     10 permit icmp any any (12 matches)     20 deny ip any any (894 matches) | show ip interface g0/1: Router# show ip interface GigabitEthernet0/1   Inbound ac...
NET-031,OSPF Network Type Mismatch (Point-to-Point vs Broadcast),OSPF Routing,Layer 3 (Network),Medium,"OSPF neighbor state is FULL between R1 and R2, but neither router installs routes learned from the other into its routing table.",R1 and R2 connected via Ethernet link on GigabitEthernet0/0.,OSPF network type mismatch: R1 is configured as 'POINT_TO_POINT' while R2 is configured as 'BROADCAST'. They reach FULL adjacency but fail SPF calculation.,OSPF Network Type Compatibility,OSPF_NEIGHBOR_ADJACENCY,show ip ospf interface GigabitEthernet0/0 on both routers,"R2(config)# interface GigabitEthernet0/0
R2(config-if)# ip ospf network point-to-point",show ip ospf neighbor (R1): R1# show ip ospf neighbor Neighbor ID     Pri   State           Dead Time   Address         Interface 2.2.2.2           0   FULL/  -        00:00:32    10.0.0.2        GigabitEthernet0/0 | show ip ospf interface GigabitEth...
NET-032,Spanning Tree Root Guard Inconsistency State,Spanning Tree / STP,Layer 2 (Data Link),High,"Port G0/12 connecting downstream switch was automatically placed into 'ROOT_Inc' (root-inconsistent) blocking state, dropping all user traffic.",Core Switch SW-ROOT has 'spanning-tree guard root' enabled on downstream port G0/12.,"Downstream switch is broadcasting superior BPDUs with priority 4096, triggering Root Guard on SW-ROOT G0/12 and blocking the port.",STP Root Guard & Priority Tuning,VLAN_TRUNK_MISMATCH,show spanning-tree inconsistentports,"Downstream-SW(config)# spanning-tree vlan 1 priority 32768
SW-ROOT# clear spanning-tree detected-protocols",show spanning-tree inconsistentports: SW-ROOT# show spanning-tree inconsistentports Name                 Interface              Inconsistency -------------------- ---------------------- ------------------ VLAN0001             GigabitEthernet0/12    R...
NET-033,TCP MSS Black Hole on PPPoE / GRE Tunnel,Transport / MTU,Layer 4 (Transport),Medium,"Users can ping external IPs and open small text web pages, but loading large web pages (SSL/TLS handshakes or heavy graphics) hangs indefinitely.",Branch router connects to HQ via PPPoE/GRE tunnel with 1400-byte MTU.,Large TCP segments with Don't Fragment (DF) flag exceed 1400 bytes MTU and are dropped. Missing 'ip tcp adjust-mss 1360' on the tunnel or transit interface.,TCP MSS Clamping / MTU Path Black Hole,SPEED_DUPLEX_MISMATCH,show interfaces Tunnel0 | include MTU,"Branch-RTR(config)# interface Tunnel0
Branch-RTR(config-if)# ip tcp adjust-mss 1360","show interfaces Tunnel0: Branch-RTR# show interfaces Tunnel0 Tunnel0 is up, line protocol is up   Hardware is Tunnel   Internet address is 172.16.100.2/30   MTU 1400 bytes, BW 10000 Kbit/sec   Tunnel source 203.0.113.10, destination 198.51.100.1 | sh..."
